algorithm,n_generations,n_states,n_signals,n_samples,threshold,util_gen2gen,util_gen2ground
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977799999999999,0.9852079207920791
LinearFunctionPlayer,100,1000,2,200,0.5,0.9979600000000001,0.9920495049504949
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977199999999997,0.9651584158415841
LinearFunctionPlayer,100,1000,2,200,0.5,0.99777,0.9826039603960396
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977700000000002,0.9619801980198021
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980899999999999,0.9842673267326731
LinearFunctionPlayer,100,1000,2,200,0.5,0.99819,0.9948316831683165
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980500000000001,0.9874257425742572
LinearFunctionPlayer,100,1000,2,200,0.5,0.99768,0.9785445544554459
LinearFunctionPlayer,100,1000,2,200,0.5,0.9978,0.9904257425742574
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977300000000001,0.9640990099009901
LinearFunctionPlayer,100,1000,2,200,0.5,0.9979799999999999,0.9817722772277229
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980400000000001,0.9781584158415841
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980499999999999,0.9893465346534652
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977499999999998,0.9777029702970295
LinearFunctionPlayer,100,1000,2,200,0.5,0.9978500000000001,0.9826138613861386
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976000000000002,0.9746138613861384
LinearFunctionPlayer,100,1000,2,200,0.5,0.99804,0.9748613861386138
LinearFunctionPlayer,100,1000,2,200,0.5,0.9972999999999999,0.9703762376237623
LinearFunctionPlayer,100,1000,2,200,0.5,0.99789,0.9831584158415844
LinearFunctionPlayer,100,1000,2,200,0.5,0.99759,0.9912178217821781
LinearFunctionPlayer,100,1000,2,200,0.5,0.99771,0.987079207920792
LinearFunctionPlayer,100,1000,2,200,0.5,0.9981300000000001,0.9934356435643562
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977300000000001,0.977049504950495
LinearFunctionPlayer,100,1000,2,200,0.5,0.99785,0.9569504950495047
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980899999999999,0.9932475247524754
LinearFunctionPlayer,100,1000,2,200,0.5,0.99802,0.957811881188119
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980199999999999,0.9842277227722773
LinearFunctionPlayer,100,1000,2,200,0.5,0.9977099999999999,0.9819306930693069
LinearFunctionPlayer,100,1000,2,200,0.5,0.99747,0.9718514851485149
LinearFunctionPlayer,100,1000,2,200,0.5,0.99796,0.9410396039603961
LinearFunctionPlayer,100,1000,2,200,0.5,0.99786,0.9714851485148512
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976900000000001,0.9577326732673268
LinearFunctionPlayer,100,1000,2,200,0.5,0.9982599999999999,0.9726831683168315
LinearFunctionPlayer,100,1000,2,200,0.5,0.9981200000000001,0.9697128712871286
LinearFunctionPlayer,100,1000,2,200,0.5,0.99762,0.9821584158415843
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976499999999998,0.9881584158415844
LinearFunctionPlayer,100,1000,2,200,0.5,0.9980199999999999,0.9846138613861385
LinearFunctionPlayer,100,1000,2,200,0.5,0.9976499999999998,0.9908811881188118
LinearFunctionPlayer,100,1000,2,200,0.5,0.99757,0.9932178217821781
LinearFunctionPlayer,100,1000,2,200,0.5,0.9975099999999999,0.9453168316831685
LinearFunctionPlayer,100,1000,2,200,0.5,0.9974799999999999,0.9734554455445544
LinearFunctionPlayer,100,1000,2,200,0.5,0.9979399999999999,0.993089108910891
LinearFunctionPlayer,100,1000,2,200,0.5,0.9981200000000001,0.9910891089108912
